CHEMBL1077603,C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1077896,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
CHEMBL10780,NCC(c1ccccc1)c1ccccc1
CHEMBL1078042,Cc1oc2cc3oc(=O)ccc3cc2c1C
CHEMBL1078051,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
CHEMBL1078052,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
CHEMBL1078141,CCCC[C@@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2
CHEMBL1078231,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2
CHEMBL1078244,COc1ccc(C(=O)OCCc2ccc(O)cc2)cc1
CHEMBL1078534,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1078564,C[C@H]1C[C@H](C)C(=O)[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
CHEMBL1078723,CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2
CHEMBL107874,CCCCCCCCCCCCC(=O)O
CHEMBL1079,Clc1ccc2nsnc2c1NC1=NCCN1
CHEMBL1079227,COc1ccc(C(C)=O)c(O)c1
CHEMBL1079421,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
CHEMBL1079460,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3
CHEMBL1079576,NC(=O)OCCCc1ccccc1
CHEMBL1079604,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
CHEMBL1079787,CCOC(=O)NNc1nncc2ccccc12
CHEMBL1079905,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C
CHEMBL1079935,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
CHEMBL1079959,COc1ccc(-c2coc3cc(O)ccc3c2=O)c(OC)c1O
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21
CHEMBL1080,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CHEMBL1080002,CCOc1ccc2nc3ccc(=O)cc-3oc2c1
CHEMBL108030,CCCCCCCCCCC(=O)O
CHEMBL1080648,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
CHEMBL1081157,CC1(C)CC[C@]2(C)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
CHEMBL1081233,CCCCC(CC)C(N)=O
CHEMBL1081326,C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1
CHEMBL1081584,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12
CHEMBL1081586,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)[C@@H](O)C[C@H]12
CHEMBL1081908,O=C1C[C@@H](O)[C@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@]2(O)C=CC3=O
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CHEMBL1082407,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
CHEMBL108299,C=CCc1ccc(OC(C)=O)c(OC)c1
CHEMBL1083326,CC(C)=CCc1c([C@H]2CCc3ccc(O)cc3O2)cc(O)c(O)c1CC=C(C)C
CHEMBL1083394,Oc1cc(O)cc(Oc2c(O)cc(O)cc2Oc2c(O)cc(O)cc2O)c1
CHEMBL1084265,COc1cccc2oc3cc(O)ccc3c(=O)c12
CHEMBL108436,CCCCCCCCC(=O)O
CHEMBL1084746,CC(C)=CCc1c([C@H]2CCc3ccc(O)cc3O2)ccc(O)c1O
CHEMBL108505,CC(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)C12
CHEMBL1085430,COc1cc2cc(-c3cc4cc(O)c(O)cc4oc3=O)c(=O)oc2c(OC)c1O
CHEMBL108545,COC(=O)c1ccccc1O
CHEMBL108559,C[C@]12C=CC(=O)NC1CCC1C2CC[C@]2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12
CHEMBL1085767,O=C(Nc1ccc2c(=O)cc(-c3nnn[nH]3)oc2c1)c1ccc(OCCCCc2ccccc2)cc1
CHEMBL1085946,BrCc1ccccc1
CHEMBL1086,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
CHEMBL1086440,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1
CHEMBL1086446,Cc1ccc(N=C=O)cc1N=C=O
CHEMBL108660,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
CHEMBL1086654,Clc1ccc2c(n1)O[C@@]13CC[C@@H]1NC[C@@H]23
CHEMBL1086764,CC(C)=CCc1cc2c(cc1O)OC[C@@]1(O)c3ccc4c(c3O[C@@H]21)C=CC(C)(C)O4
CHEMBL1086765,CC(C)=CCc1cc2c(cc1O)O[C@H]1c3ccc(O)c(CC=C(C)C)c3OC[C@@H]21
CHEMBL1086927,COC(=O)C(C)CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O
CHEMBL1086997,CCCCN1C[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO
